Name,1/05/2023,2/05/2023,3/05/2023,4/05/2023,5/05/2023,6/05/2023,7/05/2023,8/05/2023,9/05/2023,10/05/2023,11/05/2023,12/05/2023,13/05/2023,14/05/2023,15/05/2023,16/05/2023,17/05/2023,18/05/2023,19/05/2023,20/05/2023,21/05/2023,22/05/2023,23/05/2023,24/05/2023,25/05/2023,26/05/2023,27/05/2023,28/05/2023
Noel Leeming Albany,5,6,4,3,3,0,0,3,3,4,7,2,0,0,7,3,4,2,5,0,0,5,4,4,7,5,0,0
Noel Leeming Botany,3,4,7,3,8,0,0,6,6,5,5,5,0,0,5,4,4,5,5,0,0,6,4,3,5,7,0,0
Noel Leeming Henderson,3,6,5,4,5,0,0,4,3,4,5,4,0,0,2,5,7,6,6,0,0,2,6,5,3,7,0,0
Noel Leeming Lunn Avenue,2,4,5,5,2,0,0,4,6,3,5,5,0,0,5,2,4,4,4,0,0,4,3,4,4,4,0,0
Noel Leeming Manukau Supa Centre,4,7,5,4,3,0,0,5,3,2,4,4,0,0,6,4,5,3,5,0,0,5,8,2,3,4,0,0
Noel Leeming New Lynn,5,5,5,4,3,0,0,5,6,4,3,6,0,0,5,6,4,3,8,0,0,5,7,3,2,5,0,0
Noel Leeming Newmarket,6,3,6,4,5,0,0,4,3,8,5,6,0,0,4,6,5,2,4,0,0,4,3,5,6,5,0,0
Noel Leeming Ormiston,2,7,6,2,6,0,0,6,7,6,5,3,0,0,5,5,5,4,2,0,0,6,4,3,6,4,0,0
Noel Leeming Papakura,2,2,5,4,4,0,0,3,5,7,5,4,0,0,4,6,2,2,3,0,0,6,6,5,3,7,0,0
Noel Leeming Papatoetoe,4,6,6,5,7,0,0,5,4,6,6,5,0,0,3,5,2,2,3,0,0,2,4,4,4,3,0,0
Noel Leeming Penrose Clearance,6,5,4,6,4,0,0,5,3,4,6,5,0,0,4,6,2,7,7,0,0,5,2,6,5,4,0,0
Noel Leeming Royal Oak,3,4,3,6,5,0,0,4,7,6,6,3,0,0,3,4,3,4,3,0,0,3,5,4,5,5,0,0
Noel Leeming St Lukes Mega,5,7,4,6,3,0,0,6,6,6,6,5,0,0,7,6,6,3,4,0,0,4,5,2,4,2,0,0
Noel Leeming Sylvia Park,3,4,3,3,3,0,0,5,3,6,4,6,0,0,5,5,4,6,2,0,0,5,5,3,6,5,0,0
Noel Leeming Wairau Park,5,5,7,4,2,0,0,2,5,6,7,4,0,0,3,7,4,3,4,0,0,4,6,4,3,6,0,0
The Warehouse Airport,4,4,7,5,4,2,0,5,6,9,6,6,1,0,7,8,9,4,8,2,0,7,4,4,8,7,4,0
The Warehouse Albany,5,7,5,6,7,3,0,6,5,9,7,5,4,0,6,4,8,9,7,4,0,7,6,10,9,10,3,0
The Warehouse Atrium,7,5,3,3,6,4,0,6,4,8,7,6,2,0,8,11,4,6,7,3,0,5,5,6,5,9,1,0
The Warehouse Botany Downs,7,7,4,6,9,3,0,3,6,7,10,7,3,0,5,7,9,4,7,2,0,5,6,5,3,3,2,0
The Warehouse Clendon,6,8,9,6,9,3,0,4,6,7,8,9,1,0,6,7,5,6,5,3,0,6,4,7,8,8,3,0
The Warehouse Glenfield Mall,7,4,6,7,7,4,0,6,8,10,4,5,2,0,8,8,6,5,8,1,0,8,4,6,8,6,2,0
The Warehouse Lincoln Road,7,9,6,4,5,2,0,6,6,6,7,9,2,0,8,7,12,8,9,2,0,3,5,7,9,7,4,0
The Warehouse Lunn Avenue,7,10,4,7,6,1,0,8,6,6,9,8,2,0,3,8,7,6,6,2,0,6,4,7,6,5,1,0
The Warehouse Manukau,7,5,7,7,4,3,0,6,3,5,7,4,4,0,6,8,7,8,8,2,0,8,8,5,8,6,4,0
The Warehouse Milford,4,8,7,6,10,1,0,7,9,5,7,5,3,0,3,7,7,9,4,4,0,5,6,5,4,7,2,0
The Warehouse Mt Roskill,6,7,4,8,6,2,0,4,7,6,6,5,4,0,9,8,4,5,9,2,0,7,6,6,4,5,4,0
The Warehouse New Lynn,10,3,6,4,7,2,0,7,11,6,6,9,1,0,5,4,3,6,7,1,0,7,6,7,7,6,4,0
The Warehouse Newmarket,10,5,8,5,7,2,0,5,9,7,6,4,4,0,6,4,8,7,6,3,0,11,7,5,6,3,4,0
The Warehouse Pakuranga,7,4,8,5,4,1,0,4,4,7,7,8,2,0,6,5,6,11,5,1,0,7,8,9,7,9,4,0
The Warehouse Royal Oak,8,9,8,4,8,4,0,9,5,4,8,8,2,0,8,7,4,8,9,4,0,6,9,4,7,7,4,0
The Warehouse St Lukes,5,6,5,4,5,2,0,9,7,8,8,6,2,0,5,7,10,7,5,1,0,6,7,6,8,8,3,0
The Warehouse Sylvia Park,6,8,5,6,5,3,0,7,6,6,5,6,2,0,7,9,5,8,6,3,0,5,5,4,7,8,4,0
The Warehouse Takanini,7,4,10,7,9,4,0,9,5,4,6,7,4,0,7,7,5,6,5,1,0,9,6,5,5,6,2,0
The Warehouse WestCity,7,7,6,5,9,4,0,5,6,9,9,5,4,0,8,7,6,3,7,3,0,9,6,7,4,10,4,0
The Warehouse Westgate,9,5,8,4,6,1,0,8,5,6,6,4,1,0,6,7,7,9,6,2,0,6,7,12,4,5,1,0
